ukb_code	uniprot_id	protein_name	gene_symbol	chr_hg19	start_bp_hg19	end_bp_hg19	olink_panel
546	P05156	Complement factor I	CFI	4	110661852	110723335	Inflammation II
547	P27918	Properdin	CFP	X	47483612	47489704	Inflammation II
548	P01215	Glycoprotein hormones alpha chain	CGA	6	87795216	87804824	Neurology
549	P0DN86	Choriogonadotropin subunit beta 3	CGB3_CGB5_CGB8	19	49526126	49552400	Inflammation II
550	Q9P2M7	Cingulin	CGN	1	151482986	151511168	Neurology II
551	Q99674	Cell growth regulator with EF hand domain protein 1	CGREF1	2	27321757	27341995	Cardiometabolic
552	Q8WUX2	Glutathione-specific gamma-glutamylcyclotransferase 2	CHAC2	2	53994929	54002333	Oncology
553	O15335	Chondroadherin	CHAD	17	48541857	48546327	Inflammation II
554	Q8WYQ3	Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial	CHCHD10	22	24108021	24110630	Neurology II
555	Q9BRQ6	MICOS complex subunit MIC25	CHCHD6	3	126423063	126679249	Oncology II
556	O96017	Serine/threonine-protein kinase Chk2	CHEK2	22	29083731	29138410	Cardiometabolic
557	P10645	Chromogranin-A	CHGA	14	93389425	93401638	Cardiometabolic II
558	P05060	Secretogranin-1	CHGB	20	5892076	5906007	Neurology
559	P36222	Chitinase-3-like protein 1	CHI3L1	1	203148059	203155877	Cardiometabolic
560	Q13231	Chitotriosidase-1	CHIT1	1	203181955	203242769	Cardiometabolic
561	O00533	Neural cell adhesion molecule L1-like protein	CHL1	3	238279	451090	Cardiometabolic
562	P24386	Rab proteins geranylgeranyltransferase component A 1	CHM	X	85116185	85302566	Neurology II
563	Q9HD42	Charged multivesicular body protein 1a	CHMP1A	16	89710839	89724253	Neurology
564	Q96FZ7	Charged multivesicular body protein 6	CHMP6	17	78965398	78983317	Cardiometabolic II
565	Q99653	Calcineurin B homologous protein 1	CHP1	15	41523037	41574043	Neurology II
566	Q9BU40	Chordin-like protein 1	CHRDL1	X	109917084	110039286	Inflammation
567	Q6WN34	Chordin-like protein 2	CHRDL2	11	74407474	74442430	Cardiometabolic
568	P11229	Muscarinic acetylcholine receptor M1	CHRM1	11	62676151	62689279	Neurology II
569	Q6FI81	Anamorsin	CIAPIN1	16	57462081	57481440	Oncology
570	O75339	Cartilage intermediate layer protein 1	CILP	15	65488337	65503826	Cardiometabolic II
571	Q9BW66	Cyclin-dependent kinase 2-interacting protein	CINP	14	102808956	102829253	Oncology II
572	Q14011	Cold-inducible RNA-binding protein	CIRBP	19	1259384	1274879	Oncology II
573	O14578	Citron Rho-interacting kinase	CIT	12	120123595	120315095	Neurology II
574	Q07065	Cytoskeleton-associated protein 4	CKAP4	12	106631655	106698057	Inflammation
575	P12277	Creatine kinase B-type	CKB	14	103985996	103989448	Cardiometabolic II
576	P12532	Creatine kinase U-type, mitochondrial	CKMT1A_CKMT1B	15	43885252	43991420	Inflammation
577	Q7Z460	CLIP-associating protein 1	CLASP1	2	122095352	122407163	Oncology II
578	Q05315	Galectin-10	CLC	19	40221890	40228668	Cardiometabolic
579	Q8IUN9	C-type lectin domain family 10 member A	CLEC10A	17	6977856	6983626	Neurology
580	Q9Y240	C-type lectin domain family 11 member A	CLEC11A	19	51226586	51228974	Neurology
581	Q5QGZ9	C-type lectin domain family 12 member A	CLEC12A	12	10103915	10148293	Inflammation II
582	Q86T13	C-type lectin domain family 14 member A	CLEC14A	14	38723308	38725574	Neurology
583	Q8NC01	C-type lectin domain family 1 member A	CLEC1A	12	10222153	10264226	Cardiometabolic
584	Q9P126	C-type lectin domain family 1 member B	CLEC1B	12	10138241	10166023	Neurology
585	P0C7M8	C-type lectin domain family 2 member L	CLEC2L	7	139208602	139229730	Neurology II
586	P05452	Tetranectin	CLEC3B	3	45043040	45077563	Inflammation II
587	Q9UMR7	C-type lectin domain family 4 member A	CLEC4A	12	8276228	8291203	Inflammation
588	Q8WTT0	C-type lectin domain family 4 member C	CLEC4C	12	7882011	7904201	Inflammation
589	Q8WXI8	C-type lectin domain family 4 member D	CLEC4D	12	8662071	8674962	Inflammation
590	Q6UXB4	C-type lectin domain family 4 member G	CLEC4G	19	7793843	7798792	Inflammation
591	Q9H2X3	C-type lectin domain family 4 member M	CLEC4M	19	7828035	7834491	Cardiometabolic II
592	Q9NY25	C-type lectin domain family 5 member A	CLEC5A	7	141627157	141646807	Cardiometabolic
593	Q6EIG7	C-type lectin domain family 6 member A	CLEC6A	12	8608522	8630926	Oncology
594	Q9BXN2	C-type lectin domain family 7 member A	CLEC7A	12	10269376	10282857	Inflammation
595	O14967	Calmegin	CLGN	4	141309609	141349122	Neurology II
596	Q9NZA1	Chloride intracellular channel protein 5	CLIC5	6	45868045	46048132	Neurology II
597	Q14677	Clathrin interactor 1	CLINT1	5	157212751	157286183	Oncology II
598	Q9UDT6	CAP-Gly domain-containing linker protein 2	CLIP2	7	73703805	73820273	Inflammation
599	Q9H6B4	CXADR-like membrane protein	CLMP	11	122943035	123065989	Oncology
600	P54105	Methylosome subunit pICln	CLNS1A	11	77225981	77348850	Neurology II
601	Q16740	ATP-dependent Clp protease proteolytic subunit, mitochondrial	CLPP	19	6361463	6368919	Neurology
602	P04118	Colipase	CLPS	6	35762759	35765088	Neurology
603	Q9HAW4	Claspin	CLSPN	1	36185819	36235568	Neurology
604	O94985	Calsyntenin-1	CLSTN1	1	9789084	9884584	Neurology
605	Q9H4D0	Calsyntenin-2	CLSTN2	3	139654027	140296239	Inflammation
606	Q9BQT9	Calsyntenin-3	CLSTN3	12	7282294	7311541	Neurology II
607	P09496	Clathrin light chain A	CLTA	9	36190853	36304778	Cardiometabolic
608	P10909	Clusterin	CLU	8	27454434	27472548	Inflammation II
609	Q15846	Clusterin-like protein 1	CLUL1	18	596988	650334	Cardiometabolic
610	Q7Z7K0	COX assembly mitochondrial protein homolog	CMC1	3	28283075	28366633	Cardiometabolic II
611	Q8IY22	C-Maf-inducing protein	CMIP	16	81478775	81745367	Oncology II
612	Q96KN2	Beta-Ala-His dipeptidase	CNDP1	18	72201675	72254448	Cardiometabolic
613	Q9NQW8	Cyclic nucleotide-gated cation channel beta-3	CNGB3	8	87566205	87755903	Neurology II
614	P09543	2',3'-cyclic-nucleotide 3'-phosphodiesterase	CNP	17	40118759	40129749	Cardiometabolic II
615	Q9Y2B0	Protein canopy homolog 2	CNPY2	12	56703626	56710120	Cardiometabolic
616	Q8N129	Protein canopy homolog 4	CNPY4	7	99717236	99723134	Oncology
617	Q6PJW8	Consortin	CNST	1	246729746	246831886	Cardiometabolic
618	P26441	Ciliary neurotrophic factor	CNTF	11	58390146	58393198	Neurology II
619	Q12860	Contactin-1	CNTN1	12	41086244	41466220	Cardiometabolic
620	Q02246	Contactin-2	CNTN2	1	205012325	205047627	Oncology
621	Q9P232	Contactin-3	CNTN3	3	74311719	74570291	Neurology
622	Q8IWV2	Contactin-4	CNTN4	3	2140497	3099645	Neurology
623	O94779	Contactin-5	CNTN5	11	98891683	100229616	Neurology
624	Q9UHC6	Contactin-associated protein-like 2	CNTNAP2	7	145813453	148118090	Inflammation
625	Q9C0A0	Contactin-associated protein-like 4	CNTNAP4	16	76311176	76593135	Neurology II
626	O43405	Cochlin	COCH	14	31343720	31364271	Cardiometabolic II
627	P39059	Collagen alpha-1(XV) chain	COL15A1	9	101705461	101833069	Cardiometabolic II
628	P39060	Collagen alpha-1(XVIII) chain	COL18A1	21	46825052	46933634	Cardiometabolic
629	P02452	Collagen alpha-1(I) chain	COL1A1	17	48260650	48278993	Cardiometabolic
630	Q17RW2	Collagen alpha-1(XXIV) chain	COL24A1	1	86194916	86622626	Oncology II
631	Q2UY09	Collagen alpha-1(XXVIII) chain	COL28A1	7	7395834	7575484	Neurology II
632	P02458	Collagen alpha-1(II) chain	COL2A1	12	48366748	48398269	Cardiometabolic II
633	P02461	Collagen alpha-1(III) chain	COL3A1	2	189839046	189877472	Cardiometabolic II
634	P02462	Collagen alpha-1(IV) chain	COL4A1	13	110801318	110959496	Cardiometabolic
635	P53420	Collagen alpha-4(IV) chain	COL4A4	2	227867427	228028829	Oncology II
636	P20908	Collagen alpha-1(V) chain	COL5A1	9	137533620	137736686	Inflammation II
637	P12111	Collagen alpha-3(VI) chain	COL6A3	2	238232646	238323018	Cardiometabolic
638	P20849	Collagen alpha-1(IX) chain	COL9A1	6	70924764	71012786	Inflammation
639	Q14055	Collagen alpha-2(IX) chain	COL9A2	1	40766159	40783488	Oncology II
640	Q5KU26	Collectin-12	COLEC12	18	319361	500722	Inflammation
641	Q8N668	COMM domain-containing protein 1	COMMD1	2	62115859	62374382	Cardiometabolic II
642	Q9P000	COMM domain-containing protein 9	COMMD9	11	36295051	36310999	Oncology II
643	P49747	Cartilage oligomeric matrix protein	COMP	19	18893583	18902123	Cardiometabolic
644	P21964	Catechol O-methyltransferase	COMT	22	19929130	19957498	Cardiometabolic
645	P35606	Coatomer subunit beta'	COPB2	3	139074442	139108574	Cardiometabolic II
646	O14579	Coatomer subunit epsilon	COPE	19	19010323	19030206	Neurology
647	Q99807	5-demethoxyubiquinone hydroxylase, mitochondrial	COQ7	16	19078921	19091417	Cardiometabolic II
648	P31146	Coronin-1A	CORO1A	16	30194148	30200397	Cardiometabolic
649	Q6QEF8	Coronin-6	CORO6	17	27941774	27949925	Neurology II
650	P10606	Cytochrome c oxidase subunit 5B, mitochondrial	COX5B	2	98262503	98264846	Oncology
651	P14854	Cytochrome c oxidase subunit 6B1	COX6B1	19	36139125	36149763	Cardiometabolic II
652	P15085	Carboxypeptidase A1	CPA1	7	130020180	130027955	Cardiometabolic
653	P48052	Carboxypeptidase A2	CPA2	7	129906667	129929638	Neurology
654	Q9UI42	Carboxypeptidase A4	CPA4	7	129932974	129964020	Inflammation II
655	P15086	Carboxypeptidase B	CPB1	3	148508889	148577974	Cardiometabolic
656	Q96IY4	Carboxypeptidase B2	CPB2	13	46627321	46679211	Inflammation II
657	P16870	Carboxypeptidase E	CPE	4	166282346	166419472	Oncology
658	Q6PUV4	Complexin-2	CPLX2	5	175223313	175311023	Oncology II
659	P14384	Carboxypeptidase M	CPM	12	69235977	69365350	Neurology
660	P36551	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	CPOX	3	98239976	98312567	Inflammation II
661	Q9BRF8	Serine/threonine-protein phosphatase CPPED1	CPPED1	16	12756919	12897874	Neurology
662	Q9Y646	Carboxypeptidase Q	CPQ	8	97657455	98161882	Cardiometabolic II
663	Q5TA50	Ceramide-1-phosphate transfer protein	CPTP	1	1260136	1264277	Cardiometabolic II
664	Q9H3G5	Probable serine carboxypeptidase CPVL	CPVL	7	29034847	29235067	Oncology
665	Q96SM3	Probable carboxypeptidase X1	CPXM1	20	2774715	2781283	Oncology
666	Q8N436	Inactive carboxypeptidase-like protein X2	CPXM2	10	125465723	125699783	Cardiometabolic II
667	P17927	Complement receptor type 1	CR1	1	207669492	207813992	Inflammation II
668	P20023	Complement receptor type 2	CR2	1	207627575	207663240	Cardiometabolic
669	Q9BSW2	EF-hand calcium-binding domain-containing protein 4B	CRACR2A	12	3715799	3873985	Oncology
670	P78560	Death domain-containing protein CRADD	CRADD	12	94071151	94288616	Neurology
671	O43889	Cyclic AMP-responsive element-binding protein 3	CREB3	9	35732332	35737001	Oncology II
672	Q9NS37	CREB/ATF bZIP transcription factor	CREBZF	11	85370752	85393951	Oncology II
673	O75629	Protein CREG1	CREG1	1	167498914	167523004	Oncology
674	Q96HD1	Protein disulfide isomerase CRELD1	CRELD1	3	9975506	9987097	Inflammation II
675	Q6UXH1	Protein disulfide isomerase CRELD2	CRELD2	22	50311815	50321188	Inflammation
676	P06850	Corticoliberin	CRH	8	67088620	67090960	Oncology
677	P24387	Corticotropin-releasing factor-binding protein	CRHBP	5	76248538	76276983	Inflammation
678	P34998	Corticotropin-releasing factor receptor 1	CRHR1	17	43699267	43913194	Cardiometabolic
679	Q9NZV1	Cysteine-rich motor neuron 1 protein	CRIM1	2	36583069	36778278	Inflammation
680	P52943	Cysteine-rich protein 2	CRIP2	14	105939299	105946499	Neurology
681	P16562	Cysteine-rich secretory protein 2	CRISP2	6	49660073	49681274	Oncology
682	P54108	Cysteine-rich secretory protein 3	CRISP3	6	49695097	49712150	Inflammation II
683	P46109	Crk-like protein	CRKL	22	21271714	21308037	Inflammation
684	O75462	Cytokine receptor-like factor 1	CRLF1	19	18683030	18718551	Inflammation
685	Q9UBG3	Cornulin	CRNN	1	152381719	152386739	Oncology
686	Q9NQ79	Cartilage acidic protein 1	CRTAC1	10	99624757	99790585	Cardiometabolic
687	O95727	Cytotoxic and regulatory T-cell molecule	CRTAM	11	122709208	122743347	Neurology
688	O75718	Cartilage-associated protein	CRTAP	3	33155471	33189265	Neurology II
689	O43186	Cone-rod homeobox protein	CRX	19	48322703	48346587	Cardiometabolic
690	P53674	Beta-crystallin B1	CRYBB1	22	26995242	27014052	Cardiometabolic II
691	P43320	Beta-crystallin B2	CRYBB2	22	25615489	25627836	Neurology II
692	P07320	Gamma-crystallin D	CRYGD	2	208986331	208989225	Neurology II
693	Q14894	Ketimine reductase mu-crystallin	CRYM	16	21250195	21314404	Neurology II
694	O95825	Quinone oxidoreductase-like protein 1	CRYZL1	21	34961647	35016232	Cardiometabolic II
695	O75534	Cold shock domain-containing protein E1	CSDE1	1	115259534	115301297	Cardiometabolic II
696	P09603	Macrophage colony-stimulating factor 1	CSF1	1	110452864	110473614	Inflammation
697	P07333	Macrophage colony-stimulating factor 1 receptor	CSF1R	5	149432854	149492935	Inflammation II
698	P04141	Granulocyte-macrophage colony-stimulating factor	CSF2	5	131409483	131411859	Cardiometabolic II
699	P15509	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2RA	X	1387693	1429274	Neurology
700	P32927	Cytokine receptor common subunit beta	CSF2RB	22	37309670	37336491	Inflammation II
701	P09919	Granulocyte colony-stimulating factor	CSF3	17	38171614	38174066	Inflammation
702	Q99062	Granulocyte colony-stimulating factor receptor	CSF3R	1	36931644	36948879	Inflammation II
703	P0DML2	Chorionic somatomammotropin hormone 1	CSH1	17	61972275	61974021	Inflammation II
704	P48730	Casein kinase I isoform delta	CSNK1D	17	80196899	80231607	Inflammation II
705	P68400	Casein kinase II subunit alpha	CSNK2A1	20	459116	524465	Neurology II
706	Q6UVK1	Chondroitin sulfate proteoglycan 4	CSPG4	15	75966663	76005189	Cardiometabolic II
707	O95196	Chondroitin sulfate proteoglycan 5	CSPG5	3	47603729	47622282	Neurology II
708	P50461	Cysteine and glycine-rich protein 3	CSRP3	11	19203578	19232120	Cardiometabolic II
709	P01037	Cystatin-SN	CST1	20	23728190	23731905	Inflammation II
710	P01034	Cystatin-C	CST3	20	23608534	23619110	Cardiometabolic
711	P28325	Cystatin-D	CST5	20	23856572	23860387	Neurology
712	Q15828	Cystatin-M	CST6	11	65779312	65780976	Cardiometabolic
713	O76096	Cystatin-F	CST7	20	24929866	24940564	Inflammation
714	P04080	Cystatin-B	CSTB	21	45192393	45196326	Cardiometabolic
715	P78358	Cancer/testis antigen 1	CTAG1A_CTAG1B	X	153813407	153847533	Oncology II
716	Q01459	Di-N-acetylchitobiase	CTBS	1	85015289	85040163	Inflammation II
717	Q16619	Cardiotrophin-1	CTF1	16	30907928	30914881	Cardiometabolic
718	Q96CG8	Collagen triple helix repeat-containing protein 1	CTHRC1	8	104383743	104395225	Cardiometabolic II
719	P16410	Cytotoxic T-lymphocyte protein 4	CTLA4	2	204732509	204738683	Cardiometabolic II
720	P35221	Catenin alpha-1	CTNNA1	5	137946656	138270723	Neurology II
721	P17538	Chymotrypsinogen B	CTRB1	16	75252898	75258822	Neurology
722	Q99895	Chymotrypsin-C	CTRC	1	15764935	15775737	Inflammation
723	P40313	Chymotrypsin-like protease CTRL-1	CTRL	16	67961543	67966317	Neurology II
724	P07858	Cathepsin B	CTSB	8	11700033	11726957	Cardiometabolic
725	P53634	Dipeptidyl peptidase 1	CTSC	11	88026760	88070955	Inflammation
726	P07339	Cathepsin D	CTSD	11	1773982	1785222	Cardiometabolic
727	P14091	Cathepsin E	CTSE	1	206317459	206332104	Inflammation II
728	Q9UBX1	Cathepsin F	CTSF	11	66330934	66336312	Oncology
729	P09668	Pro-cathepsin H	CTSH	15	79213400	79241916	Cardiometabolic
730	P07711	Cathepsin L1	CTSL	9	90340434	90346308	Cardiometabolic
731	P43234	Cathepsin O	CTSO	4	156845270	156875069	Inflammation
732	P25774	Cathepsin S	CTSS	1	150702672	150738433	Neurology
733	O60911	Cathepsin L2	CTSV	9	99794940	99801925	Oncology
734	Q9UBR2	Cathepsin Z	CTSZ	20	57570240	57582302	Cardiometabolic
735	Q86UP6	CUB and zona pellucida-like domain-containing protein 1	CUZD1	10	124591665	124639146	Neurology II
736	Q9P013	Spliceosome-associated protein CWC15 homolog	CWC15	11	94695787	94706776	Oncology II
737	P78423	Fractalkine	CX3CL1	16	57406370	57418960	Neurology
738	P78310	Coxsackievirus and adenovirus receptor	CXADR	21	18884700	18965897	Inflammation
739	P09341	Growth-regulated alpha protein	CXCL1	4	74735110	74736959	Inflammation
740	P02778	C-X-C motif chemokine 10	CXCL10	4	76942273	76944650	Inflammation
741	O14625	C-X-C motif chemokine 11	CXCL11	4	76954835	76962568	Neurology
742	P48061	Stromal cell-derived factor 1	CXCL12	10	44793038	44881941	Inflammation
743	O43927	C-X-C motif chemokine 13	CXCL13	4	78432907	78532988	Neurology
744	O95715	C-X-C motif chemokine 14	CXCL14	5	134906373	134914969	Inflammation
745	Q9H2A7	C-X-C motif chemokine 16	CXCL16	17	4636821	4643217	Cardiometabolic
746	Q6UXB2	C-X-C motif chemokine 17	CXCL17	19	42932440	42947200	Inflammation
747	P19876	C-X-C motif chemokine 3	CXCL3	4	74902306	74904524	Inflammation
748	P42830	C-X-C motif chemokine 5	CXCL5	4	74861359	74864496	Cardiometabolic
749	P80162	C-X-C motif chemokine 6	CXCL6	4	74702214	74714781	Inflammation
750	P10145	Interleukin-8	CXCL8	4	74606223	74609433	Oncology
751	Q07325	C-X-C motif chemokine 9	CXCL9	4	76922428	76928641	Inflammation
752	P00167	Cytochrome b5	CYB5A	18	71920530	71959251	Oncology II
753	Q6BCY4	NADH-cytochrome b5 reductase 2	CYB5R2	11	7686331	7698453	Oncology II
754	Q07973	1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial	CYP24A1	20	52769988	52790512	Cardiometabolic II
755	O43739	Cytohesin-3	CYTH3	7	6201407	6312275	Oncology II
756	Q9NRR1	Cytokine-like protein 1	CYTL1	4	5016313	5021199	Cardiometabolic II
757	Q9Y4D1	Disheveled-associated activator of morphogenesis 1	DAAM1	14	59655364	59838123	Inflammation II
758	P98082	Disabled homolog 2	DAB2	5	39371780	39462402	Oncology
759	Q14118	Dystroglycan	DAG1	3	49506146	49573048	Inflammation
760	Q8N907	DAN domain family member 5	DAND5	19	13075973	13085567	Inflammation II
761	Q9UIK4	Death-associated protein kinase 2	DAPK2	15	64199235	64364232	Inflammation II
762	Q9UN19	Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide	DAPP1	4	100737990	100791311	Inflammation
763	P14868	Aspartate--tRNA ligase, cytoplasmic	DARS1	2	136664247	136743670	Neurology
764	P09172	Dopamine beta-hydroxylase	DBH	9	136501482	136524466	Inflammation II
765	P07108	Acyl-CoA-binding protein	DBI	2	120124497	120130126	Neurology
766	Q16643	Drebrin	DBN1	5	176883609	176901402	Inflammation II
767	Q9UJU6	Drebrin-like protein	DBNL	7	44084239	44109055	Inflammation
768	Q96PD2	Discoidin, CUB and LCCL domain-containing protein 2	DCBLD2	3	98514785	98620533	Oncology
769	P43146	Netrin receptor DCC	DCC	18	49866542	51057784	Neurology II
770	A8MYV0	Doublecortin domain-containing protein 2C	DCDC2C	2	3751453	3836122	Oncology II
771	Q96SD1	Protein artemis	DCLRE1C	10	14939358	14996431	Oncology II
772	P07585	Decorin	DCN	12	91539025	91576900	Cardiometabolic
773	P32321	Deoxycytidylate deaminase	DCTD	4	183811213	183839089	Inflammation II
774	Q14203	Dynactin subunit 1	DCTN1	2	74588281	74619214	Oncology
775	Q13561	Dynactin subunit 2	DCTN2	12	57923885	57941114	Oncology
776	O00399	Dynactin subunit 6	DCTN6	8	30013813	30041156	Neurology
777	Q9H773	dCTP pyrophosphatase 1	DCTPP1	16	30434940	30441396	Cardiometabolic
778	Q96GG9	DCN1-like protein 1	DCUN1D1	3	182655862	182703741	Neurology II
779	Q6PH85	DCN1-like protein 2	DCUN1D2	13	114110134	114145267	Oncology II
780	Q7Z4W1	L-xylulose reductase	DCXR	17	79993012	79995608	Oncology
781	Q9BW61	DET1- and DDB1-associated protein 1	DDA1	19	17420327	17434110	Cardiometabolic II
782	O94760	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	DDAH1	1	85784164	86043933	Oncology
783	P20711	Aromatic-L-amino-acid decarboxylase	DDC	7	50526134	50633154	Cardiometabolic
784	O94830	Phospholipase DDHD2	DDHD2	8	38082736	38133076	Neurology II
785	Q5TDH0	Protein DDI1 homolog 2	DDI2	1	15943995	15995539	Inflammation II
786	Q08345	Epithelial discoidin domain-containing receptor 1	DDR1	6	30844198	30867933	Neurology
787	P30046	D-dopachrome decarboxylase	DDT	22	24313554	24322660	Cardiometabolic II
788	Q92499	ATP-dependent RNA helicase DDX1	DDX1	2	15731302	15771235	Oncology II
789	Q9UHL0	ATP-dependent RNA helicase DDX25	DDX25	11	125773271	125793158	Neurology II
790	O00148	ATP-dependent RNA helicase DDX39A	DDX39A	19	14519631	14530192	Inflammation II
791	Q9NQI0	Probable ATP-dependent RNA helicase DDX4	DDX4	5	55033845	55112985	Inflammation II
792	Q86TM3	Probable ATP-dependent RNA helicase DDX53	DDX53	X	23018087	23020204	Neurology II
793	O95786	Antiviral innate immune response receptor RIG-I	DDX58	9	32455300	32526322	Oncology
794	Q16698	2,4-dienoyl-CoA reductase, mitochondrial	DECR1	8	91013633	91064320	Inflammation
795	P59665	Neutrophil defensin 1	DEFA1_DEFA1B	8	6835171	6875778	Cardiometabolic
796	P81534	Beta-defensin 103	DEFB103A_DEFB103B	8	7286410	7740186	Inflammation II
797	Q8WTQ1	Beta-defensin 104	DEFB104A_DEFB104B	8	7327830	7698764	Neurology II
798	Q30KQ4	Beta-defensin 116	DEFB116	20	29891015	29896388	Neurology II
799	Q96PH6	Beta-defensin 118	DEFB118	20	29956421	29961726	Neurology II
800	O15263	Beta-defensin 4A	DEFB4A_DEFB4B	8	7272382	7754233	Oncology
801	P78524	DENN domain-containing protein 2B	DENND2B	11	8714898	8932498	Cardiometabolic II
802	O43583	Density-regulated protein	DENR	12	123237321	123255611	Inflammation II
803	O00273	DNA fragmentation factor subunit alpha	DFFA	1	10516579	10532583	Inflammation
804	Q14129	Protein DGCR6	DGCR6	22	18893541	18901751	Neurology II
805	P23743	Diacylglycerol kinase alpha	DGKA	12	56321103	56347811	Inflammation II
806	Q13574	Diacylglycerol kinase zeta	DGKZ	11	46354455	46402104	Inflammation
807	Q02127	Dihydroorotate dehydrogenase	DHODH	16	72042487	72058954	Cardiometabolic II
808	P49366	Deoxyhypusine synthase	DHPS	19	12786531	12792716	Oncology II
809	Q6PKH6	Dehydrogenase/reductase SDR family member 4-like 2	DHRS4L2	14	24439148	24475617	Neurology II
810	Q9NR28	Diablo homolog, mitochondrial	DIABLO	12	122692210	122712081	Cardiometabolic
811	Q0P6D2	Divergent protein kinase domain 1C	DIPK1C	18	72102963	72125179	Neurology II
812	Q9H7Y0	Divergent protein kinase domain 2B	DIPK2B	X	45007619	45060146	Inflammation II
813	O94907	Dickkopf-related protein 1	DKK1	10	54074056	54077802	Neurology
814	Q9UBP4	Dickkopf-related protein 3	DKK3	11	11984653	12031316	Cardiometabolic
815	Q9UBT3	Dickkopf-related protein 4	DKK4	8	42231586	42234750	Neurology
816	Q9UK85	Dickkopf-like protein 1	DKKL1	19	49865040	49878373	Oncology
817	P78352	Disks large homolog 4	DLG4	17	7093209	7123021	Neurology II
818	Q15398	Disks large-associated protein 5	DLGAP5	14	55614830	55658396	Neurology II
819	P80370	Protein delta homolog 1	DLK1	14	101192042	101201539	Cardiometabolic
820	O00548	Delta-like protein 1	DLL1	6	170591294	170599561	Oncology
821	Q9NR61	Delta-like protein 4	DLL4	15	41221538	41231237	Cardiometabolic II
822	P11532	Dystrophin	DMD	X	31115794	33357558	Cardiometabolic II
823	Q13316	Dentin matrix acidic phosphoprotein 1	DMP1	4	88571459	88585513	Cardiometabolic II
824	P31689	DnaJ homolog subfamily A member 1	DNAJA1	9	33025209	33039905	Oncology II
825	O60884	DnaJ homolog subfamily A member 2	DNAJA2	16	46989299	47007699	Inflammation
826	Q8WW22	DnaJ homolog subfamily A member 4	DNAJA4	15	78556428	78574538	Neurology II
827	P25685	DnaJ homolog subfamily B member 1	DNAJB1	19	14625582	14640582	Oncology
828	Q8TBM8	DnaJ homolog subfamily B member 14	DNAJB14	4	100817405	100867883	Oncology II
829	P25686	DnaJ homolog subfamily B member 2	DNAJB2	2	220143989	220151622	Inflammation II
830	O75190	DnaJ homolog subfamily B member 6	DNAJB6	7	157128075	157210133	Inflammation II
831	Q8NHS0	DnaJ homolog subfamily B member 8	DNAJB8	3	128181282	128186091	Cardiometabolic
832	Q5F1R6	DnaJ homolog subfamily C member 21	DNAJC21	5	34929698	34959069	Neurology II
833	O75061	Putative tyrosine-protein phosphatase auxilin	DNAJC6	1	65713902	65881552	Cardiometabolic II
834	Q8WXX5	DnaJ homolog subfamily C member 9	DNAJC9	10	74943120	75008620	Oncology II
835	Q8NFT8	Delta and Notch-like epidermal growth factor-related receptor	DNER	2	230222345	230579274	Inflammation
836	Q5SXM8	DNL-type zinc finger protein	DNLZ	9	139253932	139258241	Neurology II
837	Q05193	Dynamin-1	DNM1	9	130965658	131017527	Oncology II
838	Q9UQ16	Dynamin-3	DNM3	1	171810621	172387606	Neurology II
839	Q6XZF7	Dynamin-binding protein	DNMBP	10	101635334	101769676	Neurology
840	Q9ULA0	Aspartyl aminopeptidase	DNPEP	2	220238268	220264744	Neurology II
841	O43598	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	DNPH1	6	43193367	43197222	Inflammation
842	Q14184	Double C2-like domain-containing protein beta	DOC2B	17	5810	31427	Neurology II
843	Q9BZ29	Dedicator of cytokinesis protein 9	DOCK9	13	99445741	99738879	Neurology II
844	Q99704	Docking protein 1	DOK1	2	74776153	74784681	Neurology II
845	O60496	Docking protein 2	DOK2	8	21766384	21771371	Cardiometabolic
846	P16444	Dipeptidase 1	DPEP1	16	89679716	89704839	Neurology
847	Q9H4A9	Dipeptidase 2	DPEP2	16	68021297	68034489	Oncology
848	Q8N608	Inactive dipeptidyl peptidase 10	DPP10	2	115199876	116603328	Inflammation
849	P27487	Dipeptidyl peptidase 4	DPP4	2	162848751	162931052	Cardiometabolic
850	P42658	Dipeptidyl aminopeptidase-like protein 6	DPP6	7	153584182	154685995	Oncology
851	Q9UHL4	Dipeptidyl peptidase 2	DPP7	9	140004994	140009629	Cardiometabolic
852	Q07507	Dermatopontin	DPT	1	168664697	168698502	Cardiometabolic
853	Q9C005	Protein dpy-30 homolog	DPY30	2	32092878	32264881	Oncology
854	Q8NBI3	Draxin	DRAXIN	1	11751786	11785914	Neurology
855	P55039	Developmentally-regulated GTP-binding protein 2	DRG2	17	17991200	18011285	Oncology
856	Q02487	Desmocollin-2	DSC2	18	28645940	28682378	Neurology
857	O60469	Down syndrome cell adhesion molecule	DSCAM	21	41382926	42219065	Neurology II
858	Q14126	Desmoglein-2	DSG2	18	29078006	29128971	Neurology
859	P32926	Desmoglein-3	DSG3	18	29027758	29058665	Oncology
